全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
382019,B000000005,愛媛県松山市,堀江幼稚園,ホリエヨウチエン,,私立幼稚園,382019,,愛媛県松山市堀江町甲1533,愛媛県,松山市,堀江町,甲1533,,33.9036669,132.7492267,,,,,(089)978-0355,,(089)978-5525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000006,愛媛県松山市,梅花幼稚園,バイカヨウチエン,,私立幼稚園,382019,,愛媛県松山市南梅本町甲950,愛媛県,松山市,南梅本町,甲950,,33.8018324,132.8313964,,,,,(089)975-4190,,(089)976-8050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000007,愛媛県松山市,学校法人ロザリオ学園　道後聖母幼稚園,ガッコウホウジンロザリオガクエンドウゴセイボヨウチエン,,私立幼稚園,382019,,愛媛県松山市道後喜多町7-25,愛媛県,松山市,道後喜多町,7-25,,33.8520733,132.7804628,,,,,(089)924-2442,,(089)924-3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000008,愛媛県松山市,学校法人ロザリオ学園　海の星幼稚園,ガッコウホウジンロザリオガクエンウミノホシヨウチエン,,私立幼稚園,382019,,愛媛県松山市会津町6-1,愛媛県,松山市,会津町,6-1,,33.8622203,132.7256183,,,,,(089)951-1717,,(089)952-5766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000009,愛媛県松山市,和気幼稚園,ワケヨウチエン,,私立幼稚園,382019,,愛媛県松山市和気町1-90,愛媛県,松山市,和気町1,90,,33.8902372,132.7376711,,,,,(089)978-1444,,(089)989-3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000010,愛媛県松山市,みのり幼稚園,ミノリヨウチエン,,私立幼稚園,382019,,愛媛県松山市堀江町甲659,愛媛県,松山市,堀江町,甲659,,33.9000156,132.7375842,,,,,(089)979-5710,,(089)978-0880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000011,愛媛県松山市,ロザリオ幼稚園,ロザリオヨウチエン,,私立幼稚園,382019,,愛媛県松山市室町2-7-23,愛媛県,松山市,室町2,7-23,,33.830594,132.7643505,,,,,(089)941-3394,,(089)913-7610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000012,愛媛県松山市,聖カタリナ短期大学附属幼稚園,セイカタリナタンキダイガクフゾクヨウチエン,,私立幼稚園,382019,,愛媛県松山市北条690,愛媛県,松山市,北条,690,,33.9760195,132.7812107,,,,,(089)992-3229,,(089)992-3229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000013,愛媛県松山市,桃山幼稚園,モモヤマヨウチエン,,私立幼稚園,382019,,愛媛県松山市南吉田町2772-2,愛媛県,松山市,南吉田町,2772-2,,33.829571,132.7078361,,,,,(089)971-8491,,(089)968-9730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000014,愛媛県松山市,持田幼稚園,モチダヨウチエン,,私立幼稚園,382019,,愛媛県松山市持田町3-2-8,愛媛県,松山市,持田町3,2-8,,33.8441345,132.780508,,,,,(089)921-8520,,(089)933-4326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000015,愛媛県松山市,松山東雲学園附属幼稚園,マツヤマシノノメガクエンフゾクヨウチエン,,私立幼稚園,382019,,愛媛県松山市桑原3-2-1,愛媛県,松山市,桑原3,2-1,,33.8329488,132.7954837,,,,,(089)943-1000,,(089)943-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000016,愛媛県松山市,番町幼稚園,バンチョウヨウチエン,,私立幼稚園,382019,,愛媛県松山市南斎院町739-1,愛媛県,松山市,南斎院町,739-1,,33.8315297,132.7315058,,,,,(089)972-4686,,(089)972-4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000017,愛媛県松山市,済美幼稚園,サイビヨウチエン,,私立幼稚園,382019,,愛媛県松山市余戸西6-12-45,愛媛県,松山市,余戸西6,12-45,,33.8193186,132.7254647,,,,,(089)971-6134,,(089)971-6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000018,愛媛県松山市,慶応幼稚園,ケイオウヨウチエン,,私立幼稚園,382019,,愛媛県松山市森松町1110,愛媛県,松山市,森松町,1110,,33.7953348,132.7908624,,,,,(089)956-7034,,(089)958-8306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000019,愛媛県松山市,木の実幼稚園,コノミヨウチエン,,私立幼稚園,382019,,愛媛県松山市西垣生町1690-1,愛媛県,松山市,西垣生町,1690-1,,33.813011,132.6984423,,,,,(089)973-1256,,(089)973-1256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000020,愛媛県松山市,勝山幼稚園,カツヤマヨウチエン,,私立幼稚園,382019,,愛媛県松山市高砂町1-5-12,愛媛県,松山市,高砂町1,5-12,,33.8492236,132.7624275,,,,,(089)923-0074,,(089)926-9822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,B000000021,愛媛県松山市,愛光幼稚舎,アイコウヨウチシャ,,私立幼稚園,382019,,愛媛県松山市東石井6-6-6,愛媛県,松山市,東石井6,6-6,,33.8106264,132.7763061,,,,,(089)957-4536,,(089)957-2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000001,愛媛県松山市,松山保育園,マツヤマホイクエン,,認可公立保育所,382019,,愛媛県松山市中村3-5-29,愛媛県,松山市,中村3,5-29,,33.83052304,132.7756195,,,,,(089)931-1468,,(089)933-9975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000002,愛媛県松山市,高浜保育園,タカハマホイクエン,,認可公立保育所,382019,,愛媛県松山市高浜町6-1674,愛媛県,松山市,高浜町6,1674,,33.8929588,132.708326,,,,,(089)951-0965,,(089)951‐4965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000003,愛媛県松山市,余土保育園,ヨドホイクエン,,認可公立保育所,382019,,愛媛県松山市余戸東4-1-19,愛媛県,松山市,余戸東4,1-19,,33.81635985,132.7370213,,,,,(089)972-0801,,(089)971-9901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000004,愛媛県松山市,久米保育園,クメホイクエン,,認可公立保育所,382019,,愛媛県松山市鷹子町4-4,愛媛県,松山市,鷹子町,4-4,,33.81020923,132.8063651,,,,,(089)975-0201,,(089)970-3902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000005,愛媛県松山市,味生保育園,ミブホイクエン,,認可公立保育所,382019,,愛媛県松山市北斎院町759-1,愛媛県,松山市,北斎院町759-1,759-1,,33.84295662,132.7249279,,,,,(089)951-2016,,(089)951-4963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000006,愛媛県松山市,朝美保育園,アサミホイクエン,,認可公立保育所,382019,,愛媛県松山市美沢2-7-39,愛媛県,松山市,美沢2,7-39,,33.85106341,132.7461327,,,,,(089)925-1467,,(089)925-9905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000007,愛媛県松山市,東雲保育園,シノノメホイクエン,,認可公立保育所,382019,,愛媛県松山市東雲町7-1,愛媛県,松山市,東雲町,7-1,,33.84606062,132.7747217,,,,,(089)931-1439,,(089)933-9913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000008,愛媛県松山市,八雲保育園,ヤクモホイクエン,,認可公立保育所,382019,,愛媛県松山市此花町1-8,愛媛県,松山市,此花町,1-8,,33.84035411,132.7808754,,,,,(089)941-9771,,(089)933-9918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000009,愛媛県松山市,つばき保育園,ツバキホイクエン,,認可公立保育所,382019,,愛媛県松山市古川北2-18-30,愛媛県,松山市,古川北2,18-30,,33.81307857,132.7628788,,,,,(089)956-7670,,(089)958-9952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000010,愛媛県松山市,山越保育園,ヤマゴエホイクエン,,認可公立保育所,382019,,愛媛県松山市山越1-19-40,愛媛県,松山市,山越1,19-40,,33.85648372,132.7554415,,,,,(089)925-9547,,(089)925-9907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000011,愛媛県松山市,国津保育園,クニツホイクエン,,認可公立保育所,382019,,愛媛県松山市八反地甲1647,愛媛県,松山市,八反地,甲1647,,33.97061754,132.7903906,,,,,(089)993-0807,,(089)993-0807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000012,愛媛県松山市,浅海保育園,アサナミホイクエン,,認可公立保育所,382019,,愛媛県松山市浅海本谷甲719-1,愛媛県,松山市,浅海本谷,甲719-1,,34.01009376,132.801891,,,,,(089)995-0032,,(089)995-0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000013,愛媛県松山市,粟井保育園,アワイホイクエン,,認可公立保育所,382019,,愛媛県松山市鹿峰63-2,愛媛県,松山市,鹿峰,63-2,,33.93663158,132.7735183,,,,,(089)994-0193,,(089)994-0193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000014,愛媛県松山市,堀江保育園,ホリエホイクエン,,認可公立保育所,382019,,愛媛県松山市堀江町甲1654-9,愛媛県,松山市,堀江町,甲1654-9,,33.90491649,132.7485112,,,,,(089)978-0356,,(089)978-5549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000015,愛媛県松山市,道後保育園,ドウゴホイクエン,,認可公立保育所,382019,,愛媛県松山市道後姫塚123-1,愛媛県,松山市,道後姫塚,123-1,,33.84966602,132.7892457,,,,,(089)931-4379,,(089)933-9907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000016,愛媛県松山市,桑原保育園,クワバラホイクエン,,認可公立保育所,382019,,愛媛県松山市桑原4-10-22,愛媛県,松山市,桑原4,10-22,,33.83262494,132.7946065,,,,,(089)931-0828,,(089)933-9910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000017,愛媛県松山市,小百合保育園,サユリホイクエン,,認可公立保育所,382019,,愛媛県松山市溝辺町甲528,愛媛県,松山市,溝辺町,甲528,,33.85302617,132.8061998,,,,,(089)977-0228,,(089)977-9981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000018,愛媛県松山市,伊台保育園,イダイホイクエン,,認可公立保育所,382019,,愛媛県松山市下伊台町1493-1,愛媛県,松山市,下伊台町,1493-1,,33.87797639,132.7991192,,,,,(089)977-0335 ,,(089)977-9982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000019,愛媛県松山市,生石保育園,ショウセキホイクエン,,認可公立保育所,382019,,愛媛県松山市高岡町860-1,愛媛県,松山市,高岡町,860-1,,33.83079187,132.7126938,,,,,(089)972-0803,,(089)971-9902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000020,愛媛県松山市,浮穴保育園,ウケナホイクエン,,認可公立保育所,382019,,愛媛県松山市南高井町1608-2,愛媛県,松山市,南高井町,1608-2,,33.79215834,132.7994488,,,,,(089)976-2202,,(089)970-3903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000021,愛媛県松山市,平井保育園,ヒライホイクエン,,認可公立保育所,382019,,愛媛県松山市平井町甲118,愛媛県,松山市,平井町,甲118,,33.80957732,132.8362162,,,,,(089)975-0126,,(089)970-3904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000022,愛媛県松山市,石井保育園,イシイホイクエン,,認可公立保育所,382019,,愛媛県松山市西石井6-4-34,愛媛県,松山市,西石井6,4-34,,33.81263407,132.774651,,,,,(089)956-0849,,(089)958-9951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,C000000023,愛媛県松山市,中須賀保育園,ナカスガホイクエン,,認可公立保育所,382019,,愛媛県松山市中須賀1-12-17,愛媛県,松山市,中須賀1,12-17,,33.86478758,132.7246594,,,,,(089)952-9655,,(089)951-4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000001,愛媛県松山市,垣生保育園,ハブホイクエン,,認可私立保育所,382019,,愛媛県松山市西垣生町742-1,愛媛県,松山市,西垣生町,742-1,,33.81308112,132.7047231,,,,,(089)972-1522,,(089)973-4689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000002,愛媛県松山市,小富士保育園,コフジホイクエン,,認可私立保育所,382019,,愛媛県松山市三津2-7-16,愛媛県,松山市,三津2,7-16,,33.86370769,132.7114158,,,,,(089)951-0676,,(089)951-3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000003,愛媛県松山市,潮見保育園,シオミホイクエン,,認可私立保育所,382019,,愛媛県松山市谷町49,愛媛県,松山市,谷町,49,,33.87651626,132.7523455,,,,,(089)978-1174,,(089)979-5778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000004,愛媛県松山市,緑ヶ浜保育園,ミドリガハマホイクエン,,認可私立保育所,382019,,愛媛県松山市勝岡町2613-4,愛媛県,松山市,勝岡町,2613-4,,33.8988643,132.7250783,,,,,(089)979-0205,,(089)979-4009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000005,愛媛県松山市,太山寺保育園,タイサンジホイクエン,,認可私立保育所,382019,,愛媛県松山市太山寺町1189-1,愛媛県,松山市,太山寺町,1189-1,,33.885991,132.728873,,,,,(089)979-2741,,(089)979-2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000006,愛媛県松山市,のぞみ保育園,ノゾミホイクエン,,認可私立保育所,382019,,愛媛県松山市土居田町569,愛媛県,松山市,土居田町,569,,33.82247701,132.744087,,,,,(089)971-9085,,(089)971-9911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000007,愛媛県松山市,あさひ保育園,アサヒホイクエン,,認可私立保育所,382019,,愛媛県松山市吉藤2-7-1,愛媛県,松山市,吉藤2,7-1,,33.86944098,132.7609019,,,,,(089)924-5590,,(089)923-4032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000008,愛媛県松山市,高木保育園,タカギホイクエン,,認可私立保育所,382019,,愛媛県松山市高木町252,愛媛県,松山市,高木町,252,,33.88486965,132.7416676,,,,,(089)979-0172,,(089)979-6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000009,愛媛県松山市,愛媛保育園,エヒメホイクエン,,認可私立保育所,382019,,愛媛県松山市若草町8-2,愛媛県,松山市,若草町,8-2,,33.84720739,132.7615482,,,,,(089)933-2751,,(089)933-2789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000010,愛媛県松山市,富久保育園,トミヒサホイクエン,,認可私立保育所,382019,,愛媛県松山市富久町32-3,愛媛県,松山市,富久町,32-3,,33.82281547,132.7333509,,,,,(089)971-2992,,(089)972-5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000011,愛媛県松山市,南保育園,ミナミホイクエン,,認可私立保育所,382019,,愛媛県松山市東方町甲2240,愛媛県,松山市,東方町,甲2240,,33.77717572,132.8219331,,,,,(089)963-3586,,(089)963-1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000012,愛媛県松山市,えひめ乳児保育園,エヒメニュウジホイクエン,,認可私立保育所,382019,,愛媛県松山市清水町4-23,愛媛県,松山市,清水町4,23,,33.85382587,132.7642316,,,,,(089)925-1417,,(089)925-1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000013,愛媛県松山市,松山中央乳児保育園,マツヤマチュウオウニュウジホイクエン,,認可私立保育所,382019,,愛媛県松山市三番町8-326-1,愛媛県,松山市,三番町8,326-1,,33.83782367,132.7531287,,,,,(089)943-2583,,(089)921-5881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000014,愛媛県松山市,済生会松山乳児保育園,サイセイカイマツヤマニュウジホイクエン,,認可私立保育所,382019,,愛媛県松山市祓川2-5-26,愛媛県,松山市,祓川2,5-26,,33.86007504,132.7198485,,,,,(089)951-3448,,(089)951-4448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000015,愛媛県松山市,夜間保育所ふくろうの家,ヤカンホイクショフクロウノイエ,,認可私立保育所,382019,,愛媛県松山市久万ノ台173,愛媛県,松山市,久万ノ台,173,,33.85785024,132.7469412,,,,,(089)911-0336,,(089)911-0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000016,愛媛県松山市,河野保育園,コウノホイクエン,,認可私立保育所,382019,,愛媛県松山市河野別府196,愛媛県,松山市,河野別府,196,,33.95051291,132.7814144,,,,,(089)992-1421,,(089)992-1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000017,愛媛県松山市,白百合保育園,シラユリホイクエン,,認可私立保育所,382019,,愛媛県松山市府中9-2,愛媛県,松山市,府中,9-2,,33.95313774,132.7698127,,,,,(089)993-1888,,(089)993-1888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000018,愛媛県松山市,北条愛児園,ホウジョウアイジエン,,認可私立保育所,382019,,愛媛県松山市土手内14-1,愛媛県,松山市,土手内,14-1,,33.97226208,132.7734975,,,,,(089)992-5105,,(089)992-5666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000019,愛媛県松山市,ひよこ保育園,ヒヨコホイクエン,,認可私立保育所,382019,,愛媛県松山市南斉院町686-2,愛媛県,松山市,南斉院町,686-2,,33.83066062,132.7317426,,,,,(089)974-2816,,(089)974-2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000020,愛媛県松山市,保育所ぶどうの樹,ホイクショブドウノキ,,認可私立保育所,382019,,愛媛県松山市福音寺町27-5,愛媛県,松山市,福音寺町,27-5,,33.8193689,132.7944864,,,,,(089)970-1442,,(089)909-7291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,D000000021,愛媛県松山市,アユーラキッズルームあむぱむ2,アユーラキッズルームアムパムツー,,認可私立保育所,382019,,愛媛県松山市日の出町10-80,愛媛県,松山市,日の出町,10-80,,33.8377248,132.7837708,,,,,(089)947-7188,,(089)947-7081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000001,愛媛県松山市,東松山こども園,ヒガシマツヤマコドモエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市久米窪田町394-1,愛媛県,松山市,久米窪田町,394-1,,33.80329395,132.8116007,,,,,(089)976-2140,,(089)976-8361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000002,愛媛県松山市,松山認定こども園　星岡,マツヤマニンテイコドモエン　ホシオカ,,認定こども園（幼保連携型）,382019,,愛媛県松山市星岡2-22-7,愛媛県,松山市,星岡2,22-7,,33.81940841,132.7841909,,,,,(089)958-2468,,(089)958-5001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000003,愛媛県松山市,認定こども園　コイノニア幼稚園　リベカ清水保育園,ニンテイコドモエン　コイノニアヨウチエン　リベカシミズホイクエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市清水町2-19-8,愛媛県,松山市,清水町2,19-8,,33.85072777,132.7626044,,,,,(089)924-7868,,(089)924-7906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000004,愛媛県松山市,学校法人　勝愛学園　幼保連携型認定こども園,ガッコウホウジン　ショウアイガクエン　ヨウホレンケイガタニンテイコドモエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市土居田町841,愛媛県,松山市,土居田町,841,,33.8218165,132.7386398,,,,,(089)972-2545,,(089)973-9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000005,愛媛県松山市,認定こども園　さくら幼稚園,ニンテイコドモエン　サクラヨウチエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市新立町4-23,愛媛県,松山市,新立町,4-23,,33.8368367,132.7788746,,,,,(089)933-2241,,(089)933-2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000006,愛媛県松山市,幼保連携型認定こども園　愛媛幼稚園,ヨウホレンケイガタニンテイコドモエン　エヒメヨウチエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市三番町2-6-6,愛媛県,松山市,三番町2,6-6,,33.8386396,132.7714322,,,,,(089)945-1888,,(089)945-3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000007,愛媛県松山市,幼保連携型認定こども園　法龍寺こども園,ヨウホレンケイガタニンテイコドモエン　ホウリュウジコドモエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市柳井町3-8-14,愛媛県,松山市,柳井町3,8-14,,33.834744,132.7648059,,,,,(089)945-9450,,(089)945-9477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000008,愛媛県松山市,幼保連携型認定こども園　愛媛星岡幼稚園,ヨウホレンケイガタニンテイコドモエン　エヒメホシオカヨウチエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市星岡4-13-20,愛媛県,松山市,星岡4,13-20,,33.812724,132.785431,,,,,(089)956-0900,,(089)956-0912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000009,愛媛県松山市,幼保連携型認定こども園　三葉幼稚園,ヨウホレンケイガタニンテイコドモエン　ミツバヨウチエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市山西町447,愛媛県,松山市,山西町,447,,33.8524028,132.7288566,,,,,(089)952-1777,,(089)952-1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000010,愛媛県松山市,認定こども園　花園幼稚園,ニンテイコドモエン　ハナゾノヨウチエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市御幸1-267,愛媛県,松山市,御幸1,267,,33.8581051,132.764117,,,,,(089)923-0547,,(089)924-9112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000011,愛媛県松山市,幼保連携型認定こども園　愛隣こども園,ヨウホレンケイガタニンテイコドモエン　アイリンコドモエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市三津3-6-30,愛媛県,松山市,三津3,6-30,,33.8624279,132.7133221,,,,,(089)951-3463,,(089)995-8521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000012,愛媛県松山市,学校法人大護学園　大護さとやま認定こども園,ガッコウホウジンダイゴガクエン　ダイゴサトヤマニンテイコドモエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市畑寺町乙16,愛媛県,松山市,畑寺町,乙16,,33.8255434,132.8057241,,,,,(089)975-6002,,(089)975-6004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,F000000013,愛媛県松山市,認定こども園　北梅本幼稚園,ニンテイコドモエン　キタウメモトヨウチエン,,認定こども園（幼保連携型）,382019,,愛媛県松山市北梅本町2258,愛媛県,松山市,北梅本町,2258,,33.8106417,132.8433944,,,,,(089)975-1520,,(089)975-0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
